x,y,z,mass,face_id,layer_id,density_input,mu
-1.08094729e+00,4.06214579e-01,-6.15944400e-01,1.52737463e+08,1973,34,1.72700000e+00,1.01938529e-11
-1.11321438e+00,4.18340387e-01,-6.34330800e-01,1.61991529e+08,1973,35,1.72700000e+00,1.08114787e-11
-1.14548146e+00,4.30466196e-01,-6.52717200e-01,1.71517774e+08,1973,36,1.72700000e+00,1.14472700e-11
-1.17774854e+00,4.42592004e-01,-6.71103600e-01,1.81316198e+08,1973,37,1.72700000e+00,1.21012267e-11
-1.21001562e+00,4.54717812e-01,-6.89490000e-01,1.91386800e+08,1973,38,1.72700000e+00,1.27733488e-11
-1.24228271e+00,4.66843621e-01,-7.07876400e-01,2.01729580e+08,1973,39,1.72700000e+00,1.34636365e-11
-1.27454979e+00,4.78969429e-01,-7.26262800e-01,2.12344539e+08,1973,40,1.72700000e+00,1.41720896e-11
-2.42003125e-02,9.09435625e-03,-1.37898000e-02,4.53630718e+04,1973,1,1.72700000e+00,3.02757735e-15
-4.97770000e-02,2.07913500e-02,-2.68342625e-02,3.33100620e+05,1974,2,1.72700000e+00,2.22314727e-14
-8.29616667e-02,3.46522500e-02,-4.47237708e-02,9.04130255e+05,1974,3,1.72700000e+00,6.03425688e-14
-1.16146333e-01,4.85131500e-02,-6.26132792e-02,1.76067471e+06,1974,4,1.72700000e+00,1.17509213e-13
-1.49331000e-01,6.23740500e-02,-8.05027875e-02,2.90273398e+06,1974,5,1.72700000e+00,1.93731405e-13
-1.82515667e-01,7.62349500e-02,-9.83922958e-02,4.33030806e+06,1974,6,1.72700000e+00,2.89009145e-13
-2.15700333e-01,9.00958500e-02,-1.16281804e-01,6.04339697e+06,1974,7,1.72700000e+00,4.03342433e-13
-2.48885000e-01,1.03956750e-01,-1.34171313e-01,8.04200069e+06,1974,8,1.72700000e+00,5.36731270e-13
-2.82069667e-01,1.17817650e-01,-1.52060821e-01,1.03261192e+07,1974,9,1.72700000e+00,6.89175654e-13
-3.15254333e-01,1.31678550e-01,-1.69950329e-01,1.28957526e+07,1974,10,1.72700000e+00,8.60675586e-13
-3.48439000e-01,1.45539450e-01,-1.87839837e-01,1.57509008e+07,1974,11,1.72700000e+00,1.05123107e-12
-3.81623667e-01,1.59400350e-01,-2.05729346e-01,1.88915638e+07,1974,12,1.72700000e+00,1.26084210e-12
-4.14808333e-01,1.73261250e-01,-2.23618854e-01,2.23177416e+07,1974,13,1.72700000e+00,1.48950867e-12
-4.47993000e-01,1.87122150e-01,-2.41508362e-01,2.60294342e+07,1974,14,1.72700000e+00,1.73723080e-12
-4.81177667e-01,2.00983050e-01,-2.59397871e-01,3.00266416e+07,1974,15,1.72700000e+00,2.00400847e-12
-5.14362333e-01,2.14843950e-01,-2.77287379e-01,3.43093639e+07,1974,16,1.72700000e+00,2.28984169e-12
-5.47547000e-01,2.28704850e-01,-2.95176887e-01,3.88776010e+07,1974,17,1.72700000e+00,2.59473046e-12
-5.80731667e-01,2.42565750e-01,-3.13066396e-01,4.37313529e+07,1974,18,1.72700000e+00,2.91867477e-12
-6.13916333e-01,2.56426650e-01,-3.30955904e-01,4.88706196e+07,1974,19,1.72700000e+00,3.26167464e-12
-6.47101000e-01,2.70287550e-01,-3.48845412e-01,5.42954011e+07,1974,20,1.72700000e+00,3.62373005e-12
-6.80285667e-01,2.84148450e-01,-3.66734921e-01,6.00056975e+07,1974,21,1.72700000e+00,4.00484101e-12
-7.13470333e-01,2.98009350e-01,-3.84624429e-01,6.60015086e+07,1974,22,1.72700000e+00,4.40500752e-12
-7.46655000e-01,3.11870250e-01,-4.02513937e-01,7.22828346e+07,1974,23,1.72700000e+00,4.82422958e-12
-7.79839667e-01,3.25731150e-01,-4.20403446e-01,7.88496754e+07,1974,24,1.72700000e+00,5.26250718e-12
-8.13024333e-01,3.39592050e-01,-4.38292954e-01,8.57020310e+07,1974,25,1.72700000e+00,5.71984034e-12
-8.46209000e-01,3.53452950e-01,-4.56182462e-01,9.28399015e+07,1974,26,1.72700000e+00,6.19622904e-12
-8.79393667e-01,3.67313850e-01,-4.74071971e-01,1.00263287e+08,1974,27,1.72700000e+00,6.69167329e-12
-9.12578333e-01,3.81174750e-01,-4.91961479e-01,1.07972187e+08,1974,28,1.72700000e+00,7.20617308e-12
-9.45763000e-01,3.95035650e-01,-5.09850987e-01,1.15966602e+08,1974,29,1.72700000e+00,7.73972843e-12
-9.78947667e-01,4.08896550e-01,-5.27740496e-01,1.24246531e+08,1974,30,1.72700000e+00,8.29233932e-12
-1.01213233e+00,4.22757450e-01,-5.45630004e-01,1.32811976e+08,1974,31,1.72700000e+00,8.86400576e-12
